id;domandaDeploy;domandaDelivery;costs;timeToValueDeploy;regulatoryCompliance;control;governance;availability;customizability;timeToValueDelivery;migrationIntegration;contestoEconomico;contestoOrganizzativo;contestoTecnologico;contestoGiuridico;domanda;risposta;publicCloud;communityOnPremise;communityOffPremise;hybridCloud;privateOnPremise;privateOffPremise;noCloudFit;iaaS;paaS;saaS;bpaaS
52;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;Ho la necessit… di realizzare un ambiente di test e sviluppo?;no;0;0;0;0;0;0;0;;;;
53;true;false;true;false;false;false;false;false;false;false;false;true;true;false;false;Desidero ridurre strategicamente a medio/lungo termine il TCO ?;si;1;0;0;1;0;0;0;;;;
54;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;Desidero ridurre strategicamente a medio/lungo termine il TCO ?;no;0;0;0;0;0;0;0;;;;
55;false;true;false;false;false;false;false;false;true;false;true;false;false;true;false;Un cambiamento del processo di business richiede un cambiamento all'applicativo che lo supporta?;si;;;;;;;;1;1;0;0
56;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;Un cambiamento del processo di business richiede un cambiamento all'applicativo che lo supporta?;no;;;;;;;;0;0;1;1
57;true;true;true;true;false;false;false;false;false;true;false;true;false;true;false;Desidero avere accesso e sperimentare, in modo veloce, funzionalit… nuove?;si;1;0;0;0;0;0;0;0;0;1;1
58;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;Desidero avere accesso e sperimentare, in modo veloce, funzionalit… nuove?;no;0;0;0;0;1;1;1;0;0;0;0
59;true;false;true;false;false;false;true;false;false;false;false;true;true;false;false;Il piano strategico aziendale prevede la possibilit… di divenire Cloud Provider?;si;0;1;0;1;1;0;0;;;;
60;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;Il piano strategico aziendale prevede la possibilit… di divenire Cloud Provider?;no;1;0;1;1;0;1;0;;;;
61;false;true;false;false;false;false;false;false;false;true;false;false;false;true;false;Si vuole sperimentare l'adeguatezza di nuovi prodotti e servizi a supporto dei processi ?;si;;;;;;;;0;0;1;1
62;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;Si vuole sperimentare l'adeguatezza di nuovi prodotti e servizi a supporto dei processi ?;no;;;;;;;;0;0;0;0
63;true;false;true;false;false;true;false;false;false;false;false;false;true;false;false;Il servizio Cloud richiesto deve supportare l'interazione con pi— organizzazioni che hanno relazioni ed interessi comuni ? ;si;0;1;1;0;0;0;0;;;;
64;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;Il servizio Cloud richiesto deve supportare l'interazione con pi— organizzazioni che hanno relazioni ed interessi comuni ? ;no;0;0;0;0;0;0;0;;;;
65;true;false;false;false;false;false;true;false;false;false;false;false;true;false;false;"Le organizzazioni coinvolte hanno la possibilit… di collaborare su una piattaforma condivisa in un ""Business Service Environment""?";si;0;1;1;0;0;0;0;;;;
66;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;"Le organizzazioni coinvolte hanno la possibilit… di collaborare su una piattaforma condivisa in un ""Business Service Environment""?";no;0;0;0;0;0;0;0;;;;
67;true;false;false;false;true;true;false;false;false;false;false;false;true;false;true;"Le informazioni e gli asset creati nel corso di una collaborazione possono essere condivisi (o la loro ""Intellectual Property"" appartiene all'azienda) ?";si;0;1;1;0;0;0;0;;;;
68;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;"Le informazioni e gli asset creati nel corso di una collaborazione possono essere condivisi (o la loro ""Intellectual Property"" appartiene all'azienda) ?";no;0;1;0;0;1;0;0;;;;
69;true;false;false;false;true;false;false;false;false;false;false;false;false;false;true;La legislazione vigente consente lo storage e l'accesso ai dati coinvolti nel servizio Cloud in un'infrastruttura pubblica?;si;1;0;0;0;0;0;0;;;;
70;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;La legislazione vigente consente lo storage e l'accesso ai dati coinvolti nel servizio Cloud in un'infrastruttura pubblica?;no;0;0;0;1;1;0;1;;;;
71;true;false;false;false;true;true;false;false;false;false;false;false;false;true;true;"I dati su cui il servizio si basa possono essere isolati effettivamente in modo da ottenere  uno storage ed un accesso ""sicuro""?";si;0;0;0;1;0;0;0;;;;
72;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;"I dati su cui il servizio si basa possono essere isolati effettivamente in modo da ottenere  uno storage ed un accesso ""sicuro""?";no;0;0;0;0;1;0;1;;;;
73;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;Si intende rinnovare e modernizzare servizi ed applicativi software alla fine del loro ciclo di vita ?;si;1;0;0;0;0;0;0;0;0;1;1
74;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;Si intende rinnovare e modernizzare servizi ed applicativi software alla fine del loro ciclo di vita ?;no;0;0;0;1;1;1;0;0;0;0;0
75;true;false;false;true;false;false;true;false;false;false;false;false;true;false;false;Si dispone di skill necessari a condurre una Cloud Transition?;si;1;1;1;1;1;1;0;;;;
76;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;Si dispone di skill necessari a condurre una Cloud Transition?;no;1;0;0;0;0;0;1;;;;
77;true;false;false;false;false;true;true;false;false;false;false;false;true;true;false;Sono presenti skills interni per sviluppare e gestire la sicurezza del servizio?;si;0;0;0;0;0;0;0;;;;
78;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;Sono presenti skills interni per sviluppare e gestire la sicurezza del servizio?;no;1;0;0;0;0;0;0;;;;
79;true;true;true;true;false;false;false;false;false;true;false;true;false;true;false;Si intende fornire alla propria forza lavoro di strumenti di produttivit… in maniera rapida?;si;1;0;0;0;0;0;0;0;0;1;1
80;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;Si intende fornire alla propria forza lavoro di strumenti di produttivit… in maniera rapida?;no;0;0;0;0;0;0;0;0;0;0;0
81;true;false;false;true;false;true;false;false;false;false;false;false;true;false;false;Si desidera consentire l'accesso a nuove risorse mediante un modello self-provisioning?;si;1;0;0;0;0;0;0;;;;
82;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;Si desidera consentire l'accesso a nuove risorse mediante un modello self-provisioning?;no;0;0;0;0;0;0;0;;;;
83;true;false;true;true;false;false;false;false;false;false;false;true;false;false;false;Si intende effettuare investimenti in hardware?;si;0;0;0;0;0;0;0;;;;
84;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;Si intende effettuare investimenti in hardware?;no;1;0;1;0;1;0;1;;;;
85;true;false;false;true;false;false;true;false;false;false;false;false;true;false;false;Posso disporre di un team atto a gestire l'acquisizione di prodotti software e delle relative licenze?;si;0;0;0;0;0;0;0;;;;
86;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;Posso disporre di un team atto a gestire l'acquisizione di prodotti software e delle relative licenze?;no;1;0;0;0;0;0;0;;;;
87;true;false;false;false;false;false;true;false;false;false;false;false;true;false;false;C'Š una cultura aziendale atta a recepire il paradigma del Cloud Computing? ;si;1;1;1;1;1;1;0;;;;
88;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;C'Š una cultura aziendale atta a recepire il paradigma del Cloud Computing? ;no;0;0;0;0;0;0;1;;;;
89;true;false;false;false;false;false;false;true;false;false;false;false;true;false;false;Il timore della scomparsa dal mercato del Cloud Provider Š sentito?;si;0;1;0;0;1;0;1;;;;
90;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;Il timore della scomparsa dal mercato del Cloud Provider Š sentito?;no;1;0;0;1;0;0;0;;;;
